%YEAR	Month	Day	Hour (UTC)	Min	T-1.6	T-3.9	T-5.8	T-8.5	T-10.4	T-15	T-25
2012	10	17	0	5	21.22	21.97	21.82	21.21	20.62	19.02	17.33
2012	10	17	0	10	21.18	21.85	21.72	21.16	20.6	19.05	17.35
2012	10	17	0	15	21.04	21.74	21.64	21.12	20.59	19.07	17.38
2012	10	17	0	20	20.82	21.64	21.55	21.08	20.58	19.1	17.41
2012	10	17	0	25	20.59	21.53	21.46	21.03	20.57	19.12	17.44
2012	10	17	0	30	20.36	21.41	21.38	20.98	20.56	19.16	17.48
2012	10	17	0	35	20.16	21.29	21.29	20.92	20.54	19.17	17.51
2012	10	17	0	40	19.94	21.15	21.18	20.85	20.5	19.18	17.53
2012	10	17	0	45	19.76	21.03	21.1	20.8	20.47	19.2	17.56
2012	10	17	0	50	19.55	20.91	21.01	20.75	20.45	19.22	17.6
2012	10	17	0	55	19.35	20.79	20.92	20.7	20.43	19.24	17.63
2012	10	17	1	0	19.18	20.65	20.82	20.63	20.4	19.24	17.65
2012	10	17	1	5	19.05	20.52	20.72	20.56	20.35	19.24	17.67
2012	10	17	1	10	18.9	20.4	20.63	20.51	20.32	19.24	17.7
2012	10	17	1	15	18.76	20.29	20.54	20.46	20.29	19.25	17.73
2012	10	17	1	20	18.62	20.18	20.46	20.4	20.26	19.26	17.75
2012	10	17	1	25	18.47	20.07	20.37	20.35	20.23	19.26	17.78
2012	10	17	1	30	18.32	19.96	20.29	20.3	20.19	19.26	17.81
2012	10	17	1	35	18.15	19.84	20.19	20.23	20.14	19.25	17.82
2012	10	17	1	40	17.96	19.73	20.09	20.16	20.09	19.24	17.83
2012	10	17	1	45	17.78	19.62	20.01	20.11	20.06	19.24	17.85
2012	10	17	1	50	17.6	19.51	19.92	20.05	20.02	19.24	17.88
2012	10	17	1	55	17.43	19.4	19.84	19.99	19.99	19.24	17.9
2012	10	17	2	0	17.27	19.28	19.75	19.93	19.95	19.24	17.92
2012	10	17	2	5	17.13	19.17	19.66	19.87	19.91	19.23	17.93
2012	10	17	2	10	17	19.05	19.57	19.81	19.87	19.23	17.96
2012	10	17	2	15	16.86	18.94	19.49	19.75	19.83	19.22	17.97
2012	10	17	2	20	16.72	18.81	19.37	19.68	19.76	19.2	17.98
2012	10	17	2	25	16.57	18.7	19.28	19.61	19.72	19.19	18
2012	10	17	2	30	16.44	18.59	19.2	19.55	19.67	19.18	18.01
2012	10	17	2	35	16.32	18.49	19.11	19.49	19.62	19.16	18.03
2012	10	17	2	40	16.21	18.39	19.02	19.43	19.58	19.15	18.04
2012	10	17	2	45	16.09	18.29	18.94	19.37	19.53	19.14	18.06
2012	10	17	2	50	15.98	18.19	18.85	19.3	19.48	19.13	18.07
2012	10	17	2	55	15.86	18.09	18.76	19.24	19.43	19.12	18.09
2012	10	17	3	0	15.76	17.99	18.68	19.18	19.38	19.09	18.1
2012	10	17	3	5	15.64	17.9	18.6	19.12	19.33	19.08	18.12
2012	10	17	3	10	15.52	17.78	18.49	19.03	19.26	19.05	18.11
2012	10	17	3	15	15.42	17.69	18.41	18.96	19.21	19.03	18.12
2012	10	17	3	20	15.31	17.59	18.33	18.9	19.16	19	18.13
2012	10	17	3	25	15.22	17.5	18.25	18.83	19.11	18.98	18.14
2012	10	17	3	30	15.13	17.41	18.17	18.77	19.06	18.97	18.15
2012	10	17	3	35	15.02	17.33	18.09	18.71	19.02	18.95	18.16
2012	10	17	3	40	14.94	17.24	18.01	18.64	18.97	18.92	18.16
2012	10	17	3	45	14.83	17.16	17.94	18.58	18.92	18.9	18.17
2012	10	17	3	50	14.74	17.07	17.86	18.53	18.87	18.89	18.18
2012	10	17	3	55	14.65	16.99	17.78	18.46	18.83	18.87	18.19
2012	10	17	4	0	14.55	16.9	17.71	18.4	18.78	18.85	18.2
2012	10	17	4	5	14.45	16.82	17.64	18.34	18.73	18.82	18.2
2012	10	17	4	10	14.36	16.71	17.54	18.26	18.66	18.78	18.19
2012	10	17	4	15	14.29	16.64	17.48	18.2	18.62	18.76	18.2
2012	10	17	4	20	14.18	16.56	17.4	18.14	18.57	18.74	18.21
2012	10	17	4	25	14.06	16.48	17.32	18.08	18.52	18.71	18.21
2012	10	17	4	30	13.96	16.4	17.26	18.02	18.47	18.69	18.22
2012	10	17	4	35	13.84	16.32	17.19	17.96	18.43	18.67	18.22
2012	10	17	4	40	13.73	16.23	17.11	17.9	18.38	18.64	18.22
2012	10	17	4	45	13.59	16.13	17.02	17.82	18.31	18.6	18.21
2012	10	17	4	50	13.49	16.05	16.95	17.76	18.26	18.57	18.21
2012	10	17	4	55	13.39	15.96	16.88	17.7	18.22	18.55	18.21
2012	10	17	5	0	13.29	15.88	16.81	17.65	18.17	18.52	18.22
2012	10	17	5	5	13.19	15.8	16.73	17.59	18.12	18.5	18.22
2012	10	17	5	10	13.1	15.71	16.66	17.53	18.07	18.47	18.22
2012	10	17	5	15	13	15.63	16.58	17.47	18.02	18.44	18.22
2012	10	17	5	20	12.92	15.55	16.52	17.42	17.97	18.43	18.22
2012	10	17	5	25	12.83	15.48	16.46	17.36	17.94	18.42	18.24
2012	10	17	5	30	12.74	15.4	16.4	17.3	17.91	18.41	18.25
2012	10	17	5	35	12.62	15.31	16.31	17.23	17.84	18.36	18.23
2012	10	17	5	40	12.51	15.23	16.23	17.17	17.78	18.32	18.23
2012	10	17	5	45	12.41	15.14	16.16	17.11	17.73	18.29	18.23
2012	10	17	5	50	12.31	15.06	16.09	17.05	17.67	18.26	18.22
